Acc. No.,Tree No.,Site name,Site abb.,Latitude,Longitude,Elevation (m),Days to germ
474,3,Patterson,PAT,37.49286,-121.08331,19,69
475,5,Patterson,PAT,37.49586,-121.06629,26,82
508,2,Platina,PLA,40.28987,-122.60182,220,69
292,4,Ione,ION,38.32074,-120.97866,66,103
465,4,Oneals,ONE,37.14885,-119.73211,368,61
468,8,Oneals,ONE,37.15827,-119.74027,357,82
466,1,Oneals,ONE,37.14927,-119.73222,369,61
310,3,Kaweah,KAW,36.33648,-119.17050,117,61
313,9,Kaweah,KAW,36.33637,-119.16900,118,82
130,5,"Cordon Ridge, 1750 m",CR17,34.98730,-118.61983,1746,89
230,13,Gravelly Valley,GRV,39.42741,-123.01550,814,103
235,4,Gravelly Valley,GRV,39.44874,-122.96412,557,82
491,9,PEACH TREE ROAD,PT,36.15414,-120.76552,440,82
486,11,PEACH TREE ROAD,PT,36.14350,-120.75339,440,103
458,11,Oak Grove,OKG,38.05582,-121.36349,-3,89
615,10,Tehachapi,TAC,35.11386,-118.48926,1292,89
608,3,Tehachapi,TAC (Teh?),35.11713,-118.48862,1268,82
371,2,Merced River,MER,37.51744,-120.35764,96,82
375,8,Merced River,MER,37.51723,-120.37267,88,96
179,2,Diamond Springs,DIA,38.71380,-120.81155,542,82
181,8,Diamond Springs,DIA,38.71424,-120.81170,546,69
418,3,Mountain Ranch (a.k.a. 101),MTR,38.27504,-120.50581,730,75
417,5,Mountain Ranch (a.k.a. 101),MTR,38.27539,-120.50611,734,89
504,7,PINNACLES NM,PIN,36.49177,-121.14754,321,75
502,5,PINNACLES NM,PIN,36.49292,-121.14680,323,96
69,6,Centerville,CEN,36.75334,-119.46474,129,61
67,1,Centerville,CEN,36.74763,-119.47269,125,61
529,10,Redding,RDD,40.57071,-122.37843,146,89
530,4,Redding,RDD,40.57021,-122.37802,146,69
463,8,Ojai,OJAI,34.45443,-119.23152,245,82
162,7,COTTONWOOD CANYON ROAD,COT,34.99233,-119.88839,613,103
159,7,COTTONWOOD CANYON ROAD,COT,34.99191,-119.88871,629,96
576,5,SEDGWICK RESERVE,SW,34.69334,-120.03813,331,61
573,15,SEDGWICK RESERVE,SW,34.68844,-120.03652,326,89
325,16,Laytonville,LAY,39.65170,-123.48409,509,110
320,2,Laytonville,LAY,39.74600,-123.52422,457,103
384,1,Middle Creek CG,MCK,39.24610,-122.95040,439,82
387,14,Middle Creek CG,MCK,39.25372,-122.95055,444,110
432,5,Mt. Hamilton Mid,HAMm,37.32615,-121.67009,665,110
363,6,McLaughlin,MCL,38.86992,-122.42120,637,96
366,11,McLaughlin,MCL,38.87017,-122.42335,639,82
272,7,HOLLISTER HILLS,HH,36.77815,-121.40269,192,82
275,4,HOLLISTER HILLS,HH,36.77595,-121.40640,223,69
595,4,Sugarloaf Ridge area,SUG,38.42324,-122.55631,156,69
594,7,Sugarloaf Ridge area,SUG,38.42370,-122.55438,156,54
637,12,"White Rock, PARADISE RD",WR,34.54235,-119.80856,281,103
643,11,"White Rock, PARADISE RD",WR,34.54197,-119.80749,285,89
318,3,Kingsburg,KIN,36.49160,-119.53883,90,49
25,10,Bear River,BER,39.03464,-121.09885,444,89
545,13,Round Valley,ROV,39.74843,-123.24821,437,82
548,3,Round Valley,ROV,39.75122,-123.24845,435,82
650,12,Willits,WLT,39.41081,-123.34682,418,96
656,11,Willits,WLT,39.38100,-123.34228,425,89
398,16,Middletown,MDT,38.75858,-122.60500,335,96
396,4,Middletown,MDT,38.76055,-122.60381,332,75
284,11,"INDIAN VALLEY AREA, VINEYARD ROAD",IVA,35.78269,-120.68856,225,82
283,6,"INDIAN VALLEY AREA, VINEYARD ROAD",IVA,35.77914,-120.69231,222,96
78,2,Chews Ridge,CHW,36.34520,-121.58087,1045,82
77,16,Chews Ridge,CHW,36.34486,-121.58036,1054,103
113,8,"Cordon Ridge, 1200 m",CR12,35.00529,-118.66748,1219,96
119,8,"Cordon Ridge, 1200 m",CR12,35.00553,-118.66542,1242,110
586,9,Springville,SPR,36.08004,-118.89775,225,89
589,1,Springville,SPR,36.04934,-118.85868,226,75
584,12,Sonora,SON,38.01128,-120.40405,638,103
583,9,Sonora,SON,38.00973,-120.39066,632,54
227,13,George J Hatfield SRA,HAT,37.35240,-120.96085,20,82
229,11,George J Hatfield SRA,HAT,37.35149,-120.95962,17,75
661,6,Woodson Bridge SRA/Tehama CP,WOO,39.91081,-122.08992,57,82
660,10,Woodson Bridge SRA/Tehama CP,WOO,39.91110,-122.09122,55,117
97,10,Clearlake Oaks,CLO,39.02186,-122.71461,400,69
94,10,Clearlake Oaks,CLO,39.02147,-122.71146,399,89
10,2,Angels Camp (a.k.a 102),ANG,38.05320,-120.62196,452,82
12,13,Angels Camp (a.k.a 102),ANG,38.05101,-120.62324,448,103
601,7,Sunol,SUN,37.60099,-121.87363,81,75
602,6,Sunol,SUN,37.60200,-121.87358,81,69
401,1,Monticello Dam,MOD,38.51530,-122.08376,60,69
407,3,Monticello Dam,MOD,38.51446,-122.07750,55,61
40,11,Blue Oak Ranch (a.k.a. BORR),BLU,37.35782,-121.72746,476,69
35,11,Blue Oak Ranch (a.k.a BORR),BLU,37.35788,-121.72672,467,82
630,8,Ukiah,UKI,39.09836,-123.20782,181,69
629,10,Ukiah,UKI,39.09771,-123.20856,183,82
76,9,Chesebro,CHE,34.16449,-118.72383,328,89
73,10,Chesebro,CHE,34.16084,-118.72587,328,89
527,9,Red Bluff,RED,40.08522,-122.17328,84,131
522,10,Red Bluff,RED,40.14780,-122.13824,66,89
672,2,York Mountain Road ,YORK,35.55676,-120.77053,297,82
671,2,York Mountain Road ,YORK,35.54896,-120.78661,281,69
208,11,FORT HUNTER LIGGETT,FHL,35.97922,-121.23337,298,89
206,12,FORT HUNTER LIGGETT,FHL,35.97960,-121.23371,293,103
244,12,HASTINGS RESERVE,HAS,36.38447,-121.55448,515,103
245,2,HASTINGS RESERVE,HAS,36.38061,-121.55290,634,89
103,1,Cloverdale,CVD,38.85966,-123.03751,125,49
102,4,Cloverdale,CVD,38.85947,-123.03747,125,69
422,9,Mountain Ranch (a.k.a. 101),MTR,38.26659,-120.50238,676,96
423,5,Mountain Ranch (a.k.a. 101),MTR,38.26685,-120.49714,694,89
505,15,PINNACLES NM,PIN,36.49248,-121.14843,322,110
503,15,PINNACLES NM,PIN,36.49208,-121.14788,321,late germ
66,11,Centerville,CEN,36.74719,-119.47302,125,61
65,6,Centerville,CEN,36.74577,-119.47493,127,96
533,8,Redding,RDD,40.61291,-122.34833,178,89
532,4,Redding,RDD,40.61283,-122.34853,179,69
461,2,Ojai,OJAI,34.44189,-119.24474,231,89
157,4,COTTONWOOD CANYON ROAD,COT,34.99284,-119.88912,626,82
161,3,COTTONWOOD CANYON ROAD,COT,34.99176,-119.88843,618,69
570,6,SEDGWICK RESERVE,SW,34.70022,-120.04050,348,82
553,7,Santa Clarita,SCL,34.40093,-118.57196,384,89
323,14,Laytonville,LAY,39.65154,-123.48087,512,75
319,10,Laytonville,LAY,39.68850,-123.48817,493,89
391,16,Middle Creek CG,MCK,39.24288,-122.94722,440,96
390,5,Middle Creek CG,MCK,39.24419,-122.94749,440,82
431,1,Mt. Hamilton Mid,HAMm,37.32615,-121.67009,665,75
364,14,McLaughlin,MCL,38.86956,-122.42264,638,89
365,11,McLaughlin,MCL,38.86998,-122.42288,638,82
274,2,HOLLISTER HILLS,HH,36.77961,-121.40169,191,61
271,7,HOLLISTER HILLS,HH,36.77734,-121.40459,199,96
598,5,Sugarloaf Ridge area,SUG,38.41886,-122.55145,146,75
599,8,Sugarloaf Ridge area,SUG,38.41887,-122.55143,145,late germ
642,10,"White Rock, PARADISE RD",WR,34.54167,-119.80753,289,82
638,7,"White Rock, PARADISE RD",WR,34.54162,-119.80836,285,82
317,6,Kingsburg,KIN,36.48506,-119.54247,90,61
23,6,Bear River,BER,38.99662,-121.10839,402,82
552,3,Round Valley,ROV,39.75847,-123.23589,425,82
546,14,Round Valley,ROV,39.74833,-123.24822,439,96
653,13,Willits,WLT,39.38390,-123.34167,432,103
651,6,Willits,WLT,39.41143,-123.34687,416,89
392,6,Middletown,MDT,38.75967,-122.60382,326,82
399,3,Middletown,MDT,38.75914,-122.60471,334,89
282,8,"INDIAN VALLEY AREA, VINEYARD ROAD",IVA,35.77833,-120.69300,224,103
288,9,"INDIAN VALLEY AREA, VINEYARD ROAD",IVA,35.81143,-120.66812,284,69
83,8,Chews Ridge,CHW,36.31268,-121.57240,1492,103
84,1,Chews Ridge,CHW,36.31253,-121.57212,1492,82
114,2,"Cordon Ridge, 1200 m",CR12,35.00578,-118.66718,1226,82
117,7,"Cordon Ridge, 1200 m",CR12,35.00558,-118.66608,1236,117
588,11,Springville,SPR,36.04868,-118.85880,222,96
587,6,Springville,SPR,36.09481,-118.83675,235,69
580,7,Sonora,SON,37.97516,-120.39289,525,54
582,1,Sonora,SON,37.99425,-120.38364,586,69
225,4,George J Hatfield SRA,HAT,37.35170,-120.96173,18,61
228,3,George J Hatfield SRA,HAT,37.35302,-120.96004,22,54
657,4,Woodson Bridge SRA/Tehama CP,WOO,39.90974,-122.08971,56,69
658,1,Woodson Bridge SRA/Tehama CP,WOO,39.91040,-122.09136,54,82
93,10,Clearlake Oaks,CLO,39.02124,-122.71125,399,82
96,12,Clearlake Oaks,CLO,39.02203,-122.71373,403,75
13,9,Angels Camp (a.k.a 102),ANG,38.05104,-120.62301,448,110
15,13,Angels Camp (a.k.a 102),ANG,38.08537,-120.56381,477,131
607,12,Sunol,SUN,37.60332,-121.87334,81,89
603,3,Sunol,SUN,37.60157,-121.87363,81,54
404,3,Monticello Dam,MOD,38.51478,-122.07824,57,54
402,3,Monticello Dam,MOD,38.51506,-122.08321,57,61
41,7,Blue Oak Ranch (a.k.a. BORR),BLU,37.35048,-121.73142,521,89
39,9,Blue Oak Ranch (a.k.a. BORR),BLU,37.35664,-121.72643,493,89
626,11,Ukiah,UKI,39.07946,-123.21592,215,96
627,1,Ukiah,UKI,39.09243,-123.21973,196,61
74,2,Chesebro,CHE,34.16026,-118.72589,325,69
71,8,Chesebro,CHE,34.15641,-118.73070,294,69
523,15,Red Bluff,RED,40.12669,-122.12164,65,82
528,1,Red Bluff,RED,40.19379,-122.18501,91,75
670,1,York Mountain Road ,YORK,35.54924,-120.78675,282,82
669,2,York Mountain Road ,YORK,35.55177,-120.77532,272,89
210,14,FORT HUNTER LIGGETT,FHL,35.98042,-121.23280,300,82
212,9,FORT HUNTER LIGGETT,FHL,35.97635,-121.23721,315,75
241,7,HASTINGS RESERVE,HAS,36.38540,-121.55293,519,75
242,6,HASTINGS RESERVE,HAS,36.38109,-121.55293,629,103
101,10,Cloverdale,CVD,38.85847,-123.03728,128,69
99,10,Cloverdale,CVD,38.82327,-123.01875,118,89
420,6,Mountain Ranch (a.k.a. 101),MTR,38.27146,-120.50459,710,82
421,3,Mountain Ranch (a.k.a. 101),MTR,38.26668,-120.50298,678,69
506,2,PINNACLES NM,PIN,36.49274,-121.14737,322,54
500,15,PINNACLES NM,PIN,36.49456,-121.14529,327,96
70,4,Centerville,CEN,36.75656,-119.46008,130,138
63,3,Centerville,CEN,36.72520,-119.45910,122,54
535,1,Redding,RDD,40.61095,-122.34620,176,61
536,10,Redding,RDD,40.61141,-122.34624,175,117
462,6,Ojai,OJAI,34.44140,-119.24530,230,69
158,2,COTTONWOOD CANYON ROAD,COT,34.99212,-119.88892,631,75
163,4,COTTONWOOD CANYON ROAD,COT,34.99132,-119.88766,613,75
557,7,Santa Clarita,SCL,34.39902,-118.57184,399,late germ
555,7,Santa Clarita,SCL,34.40054,-118.57149,394,96
556,9,Santa Clarita,SCL,34.39997,-118.57200,393,82
322,10,Laytonville,LAY,39.66592,-123.47726,509,89
385,13,Middle Creek CG,MCK,39.25349,-122.95084,441,89
389,1,Middle Creek CG,MCK,39.24500,-122.94808,441,49
430,7,Mt. Hamilton Mid,HAMm,37.32642,-121.66903,688,89
361,13,McLaughlin,MCL,38.87354,-122.42544,641,96
367,10,McLaughlin,MCL,38.87033,-122.42417,639,96
276,6,HOLLISTER HILLS,HH,36.77506,-121.40727,221,69
269,4,HOLLISTER HILLS,HH,36.77565,-121.40834,198,69
593,7,Sugarloaf Ridge area,SUG,38.43304,-122.55359,169,82
353,9,Mariposa,MAR,37.46111,-119.87971,672,103
641,3,"White Rock, PARADISE RD",WR,34.54082,-119.80787,286,49
644,10,"White Rock, PARADISE RD",WR,34.54135,-119.80833,284,61
281,11,HUASNA VALLEY NEAR ARROYO GRANDE,HUA,35.11467,-120.39512,224,89
26,7,Bear River,BER,39.03440,-121.10777,424,75
547,3,Round Valley,ROV,39.74828,-123.24841,438,69
551,7,Round Valley,ROV,39.75859,-123.23914,427,61
655,3,Willits,WLT,39.38292,-123.34292,431,82
654,5,Willits,WLT,39.38618,-123.34067,431,82
394,2,Middletown,MDT,38.76043,-122.60432,332,124
397,5,Middletown,MDT,38.76043,-122.60333,332,61
285,2,"INDIAN VALLEY AREA, VINEYARD ROAD",IVA,35.78423,-120.68629,227,96
289,10,"INDIAN VALLEY AREA, VINEYARD ROAD",IVA,35.77844,-120.69317,201,82
81,10,Chews Ridge,CHW,36.34139,-121.58068,1093,82
82,1,Chews Ridge,CHW,36.34082,-121.58023,1096,54
426,11,Mt. Hamilton High,HAMh,37.33835,-121.65305,1041,89
427,6,Mt. Hamilton High,HAMh,37.33749,-121.65334,1033,69
590,13,Springville,SPR,36.09187,-118.81484,267,110
585,11,Springville,SPR,36.09927,-118.86832,217,61
579,10,Sonora,SON,37.95725,-120.42442,440,96
578,14,Sonora,SON,37.95644,-120.42265,437,131
226,7,George J Hatfield SRA,HAT,37.35279,-120.96049,20,89
224,10,George J Hatfield SRA,HAT,37.34638,-120.94753,17,61
662,7,Woodson Bridge SRA/Tehama CP,WOO,39.91042,-122.08910,61,89
663,1,Woodson Bridge SRA/Tehama CP,WOO,39.91288,-122.08720,55,69
95,8,Clearlake Oaks,CLO,39.02187,-122.71349,401,69
646,9,Williams,WIL,39.00362,-122.35478,320,82
14,10,Angels Camp (a.k.a 102),ANG,38.06791,-120.59639,396,131
9,13,Angels Camp (a.k.a 102),ANG,38.05775,-120.62022,454,late germ
604,5,Sunol,SUN,37.59870,-121.87510,82,54
606,5,Sunol,SUN,37.60355,-121.87331,81,75
403,12,Monticello Dam,MOD,38.51480,-122.07794,57,75
405,10,Monticello Dam,MOD,38.51455,-122.07815,55,110
42,2,Blue Oak Ranch (a.k.a. BORR),BLU,37.35104,-121.73129,517,54
38,13,Blue Oak Ranch (a.k.a. BORR),BLU,37.35621,-121.72627,495,103
625,5,Ukiah,UKI,39.07930,-123.21585,213,75
628,10,Ukiah,UKI,39.09473,-123.21297,192,61
75,13,Chesebro,CHE,34.16356,-118.72408,327,110
21,11,Bakersfield Natl Cemetary,BNC,35.25539,-118.66801,598,117
526,14,Red Bluff,RED,40.15539,-122.20391,79,117
525,13,Red Bluff,RED,40.15633,-122.20159,78,110
666,13,York Mountain Road ,YORK,35.55196,-120.77879,284,96
667,1,York Mountain Road ,YORK,35.55230,-120.77992,285,96
213,7,FORT HUNTER LIGGETT,FHL,35.97662,-121.23687,315,75
209,13,FORT HUNTER LIGGETT,FHL,35.98026,-121.23441,301,49
239,2,HASTINGS RESERVE,HAS,36.38781,-121.54951,541,96
243,6,HASTINGS RESERVE,HAS,36.38140,-121.55375,607,89
98,3,Cloverdale,CVD,38.82267,-123.01930,118,69
104,11,Cloverdale,CVD,38.85439,-123.03187,131,69
451,11,Novato,NOV,38.08725,-122.59093,48,75
521,13,Princeton,PRI,39.46268,-121.99226,32,103
519,1,Princeton,PRI,39.46061,-122.01819,31,82
146,12,Cosumnes River Preserve,CRP,38.26244,-121.43118,7,96
568,1,SANTA MARGARITA,SMAR,35.35506,-120.54056,347,182
561,7,SANTA MARGARITA,SMAR,,,,89
263,4,Hidden Valley (Thousand Oaks),HV,34.14318,-118.90047,307,89
264,3,Hidden Valley (Thousand Oaks),HV,34.14321,-118.90102,307,96
382,4,Meridian,MRD,39.18715,-121.92740,12,82
376,7,Meridian,MRD,39.18699,-121.89870,1,75
446,4,Nicolaus,NIC,38.88123,-121.60262,12,82
445,12,Nicolaus,NIC,38.88178,-121.60592,11,82
124,10,"Cordon Ridge, 1500 m",CR15,35.00159,-118.65189,1513,110
122,16,"Cordon Ridge, 1500 m",CR15,35.00143,-118.65051,1521,117
135,1,"Cordon Ridge, 600 m",CR6,35.00688,-118.70762,590,82
187,8,Dry Creek,DRY,37.64508,-120.84779,37,89
218,2,Fort Tejon State Park,FT,34.87377,-118.89568,980,96
219,7,Fort Tejon State Park,FT,34.87317,-118.89433,975,82
27,1,Bellota,BEL,38.05424,-121.01402,68,54
29,8,Bellota,BEL,38.05210,-121.01408,57,96
499,6,Penn Valley,PEN,39.20129,-121.18902,420,75
493,7,Penn Valley,PEN,39.20380,-121.17965,427,89
352,13,Mariposa,MAR,37.46042,-119.87328,679,89
359,9,Mariposa,MAR,37.45873,-119.89994,693,82
254,6,Henry Coe area,COE,37.07253,-121.47559,254,69
261,10,Henry Coe area,COE,37.09570,-121.46964,283,110
278,10,HUASNA VALLEY NEAR ARROYO GRANDE,HUA,35.10591,-120.38777,228,131
24,11,Bear River,BER,39.00045,-121.10773,412,89
549,14,Round Valley,ROV,39.75858,-123.24104,430,89
550,8,Round Valley,ROV,39.75863,-123.24069,428,75
652,16,Willits,WLT,39.38401,-123.34169,434,138
395,2,Middletown,MDT,38.76061,-122.60471,332,61
393,1,Middletown,MDT,38.75961,-122.60428,332,96
287,2,"INDIAN VALLEY AREA, VINEYARD ROAD",IVA,35.81006,-120.67004,286,49
286,4,"INDIAN VALLEY AREA, VINEYARD ROAD",IVA,35.80846,-120.67199,289,75
79,7,Chews Ridge,CHW,36.34445,-121.58033,1058,110
80,3,Chews Ridge,CHW,36.34367,-121.58124,1072,61
428,11,Mt. Hamilton High,HAMh,37.34233,-121.64989,1112,96
592,11,Springville,SPR,36.04523,-118.85690,239,82
591,7,Springville,SPR,,,,82
581,4,Sonora,SON,37.97928,-120.38844,529,75
577,16,Sonora,SON,37.95635,-120.42282,438,110
222,10,George J Hatfield SRA,HAT,37.34690,-120.87823,22,69
223,4,George J Hatfield SRA,HAT,37.34638,-120.94698,19,69
659,1,Woodson Bridge SRA/Tehama CP,WOO,39.91079,-122.09097,55,69
664,6,Woodson Bridge SRA/Tehama CP,WOO,39.91839,-122.08546,62,89
645,4,Williams,WIL,39.00442,-122.35487,320,69
648,12,Williams,WIL,39.00279,-122.35436,325,82
647,12,Williams,WIL,39.00313,-122.35464,317,145
649,2,Williams,WIL,38.99365,-122.35313,319,82
600,8,Sunol,SUN,37.60109,-121.87374,81,103
605,14,Sunol,SUN,37.59867,-121.87535,85,69
400,2,Monticello Dam,MOD,,,,75
36,16,Blue Oak Ranch (a.k.a. BORR),BLU,37.35367,-121.72585,511,89
37,6,Blue Oak Ranch (a.k.a. BORR),BLU,37.35404,-121.72572,508,82
624,7,Ukiah,UKI,39.10065,-123.20727,184,82
623,10,Ukiah,UKI,39.10214,-123.20450,174,75
19,7,Bakersfield Natl Cemetary,BNC,35.25665,-118.66799,592,152
20,6,Bakersfield Natl Cemetary,BNC,35.25663,-118.66744,592,82
16,3,Bakersfield Natl Cemetary,BNC,35.25503,-118.67350,603,82
22,3,Bakersfield Natl Cemetary,BNC,35.25439,-118.66648,608,61
668,6,York Mountain Road ,YORK,35.55151,-120.77808,283,82
665,7,York Mountain Road ,YORK,35.55022,-120.79166,253,96
211,9,FORT HUNTER LIGGETT,FHL,35.97619,-121.23695,313,75
207,1,FORT HUNTER LIGGETT,FHL,35.97922,-121.23432,299,69
240,3,HASTINGS RESERVE,HAS,36.38751,-121.54993,537,103
238,11,HASTINGS RESERVE,HAS,36.38783,-121.54967,542,96
100,12,Cloverdale,CVD,38.85813,-123.03735,129,82
450,11,Novato,NOV,38.08614,-122.59032,43,82
448,10,Novato,NOV,38.10773,-122.57983,9,152
520,1,Princeton,PRI,39.46143,-122.01841,28,69
518,9,Princeton,PRI,39.45728,-122.02053,32,69
145,2,Cosumnes River Preserve,CRP,38.26244,-121.43118,7,49
562,15,SANTA MARGARITA,SMAR,35.35228,-120.53825,344,110
563,1,SANTA MARGARITA,SMAR,35.35170,-120.53426,357,82
267,4,Hidden Valley (Thousand Oaks),HV,34.15295,-118.90733,316,82
265,12,Hidden Valley (Thousand Oaks),HV,34.15254,-118.90374,311,96
383,2,Meridian,MRD,39.18719,-121.92999,11,89
380,6,Meridian,MRD,39.18725,-121.90304,7,82
441,7,Nicolaus,NIC,38.88058,-121.58151,7,69
443,11,Nicolaus,NIC,38.88151,-121.60574,8,89
125,7,"Cordon Ridge, 1500 m",CR15,35.00145,-118.65184,1513,75
126,4,"Cordon Ridge, 1500 m",CR15,35.00158,-118.65216,1505,69
136,3,"Cordon Ridge, 600 m",CR6,35.00674,-118.70799,585,61
188,5,Dry Creek,DRY,37.64557,-120.84800,35,89
220,11,Fort Tejon State Park,FT,34.87311,-118.89350,972,82
217,12,Fort Tejon State Park,FT,34.87443,-118.89521,977,96
28,16,Bellota,BEL,38.05196,-121.01424,59,103
30,7,Bellota,BEL,38.05098,-121.01411,56,49
498,14,Penn Valley,PEN,39.20205,-121.18857,421,117
492,6,Penn Valley,PEN,39.20405,-121.17821,428,82
357,13,Mariposa,MAR,37.46667,-119.95108,557,96
355,7,Mariposa,MAR,37.45851,-119.90107,703,54
259,5,Henry Coe area,COE,37.08070,-121.46821,264,82
256,11,Henry Coe area,COE,37.07872,-121.46686,264,96
277,6,HUASNA VALLEY NEAR ARROYO GRANDE,HUA,35.12399,-120.39111,249,89
327,3,"LYNCH CANYON ROAD, LAKE NACIMIENTO",LYN,35.78473,-120.96921,341,82
333,16,"LYNCH CANYON ROAD, LAKE NACIMIENTO",LYN,35.78870,-120.95062,319,61
1,7,Alhambra,ALH,37.96990,-122.16970,176,75
7,4,Alhambra,ALH,37.96547,-122.19386,142,82
540,11,Restoration Oaks Ranch,RO,34.55826,-120.17836,232,103
542,13,Restoration Oaks Ranch,RO,34.55357,-120.18461,207,82
194,12,Dunlap,DUN,36.74241,-119.14307,560,82
193,4,Dunlap,DUN,36.74261,-119.14357,563,75
86,7,Chico,CHI,39.71180,-121.78388,81,131
90,1,Chico,CHI,39.71188,-121.78548,85,82
339,6,Madera Transect,MAD,36.97432,-119.36779,581,96
335,9,Madera Transect,MAD,36.97174,-119.36790,582,82
165,6,Cottonwood Drainage,CD16,34.97555,-118.59370,1645,89
170,9,Cottonwood Drainage,CD16,34.97511,-118.59252,1637,89
58,3,Caswell Memorial SP,CAS,37.69557,-121.18346,19,75
56,2,Caswell Memorial SP,CAS,37.70553,-121.17966,28,69
347,2,Malibu Creek State Park,MC,34.09797,-118.71558,167,54
345,8,Malibu Creek State Park,MC,34.09538,-118.71702,154,75
199,4,Folsom,FOL,38.63540,-121.23470,31,82
204,3,Folsom,FOL,38.63335,-121.21446,45,75
246,8,Healdsburg,HEA,38.61366,-122.82761,68,68
252,7,Healdsburg,HEA,38.61236,-122.83163,54,82
472,13,Oneals=Oakhurst,OAK,37.33840,-119.65725,712,96
51,9,Carrissa Highway & E. Pozo Rd,PO,35.38519,-120.17553,480,75
54,6,Carrissa Highway & E. Pozo Rd,PO,35.38610,-120.16743,469,61
476,4,Paynes Creek,PAY,40.30689,-122.08433,184,96
477,4,Paynes Creek,PAY,40.30678,-122.08433,184,82
111,14,Coalinga Road,COA,36.39068,-120.93528,555,103
108,8,Coalinga Road,COA,36.39672,-120.94881,540,61
137,5,"Cordon Ridge, 900 m",CR9,35.00495,-118.69306,905,82
143,11,"Cordon Ridge, 900 m",CR9,35.00490,-118.69094,955,75
155,11,Cottonwood,CTW,40.36018,-122.30750,132,138
149,9,Cottonwood,CTW,40.36757,-122.28863,134,82
433,8,Napa,NAP,38.24059,-122.27192,22,96
306,14,Jasper Ridge,JAS,37.40317,-122.24360,123,89
308,9,Jasper Ridge,JAS,37.40400,-122.23984,115,75
410,2,Morgan Hill,MOH,37.16491,-121.71479,95,75
414,1,Morgan Hill,MOH,37.12965,-121.70267,159,75
152,4,Cottonwood,CTW,40.36642,-122.29591,132,69
154,2,Cottonwood,CTW,40.36020,-122.30672,134,69
663,7,Woodson Bridge SRA/Tehama CP,WOO,39.91288,-122.08720,55,82
661,7,Woodson Bridge SRA/Tehama CP,WOO,39.91081,-122.08992,57,82
133,1,"Cordon Ridge, 600 m",CR6,35.00726,-118.70570,627,82
135,5,"Cordon Ridge, 600 m",CR6,35.00688,-118.70762,590,82
134,1,"Cordon Ridge, 600 m",CR6,35.00643,-118.70708,588,49
452,11,Novato,NOV,38.08955,-122.59269,53,82
517,2,Princeton,PRI,39.45546,-122.01718,39,49
516,2,Princeton,PRI,39.45519,-122.01717,41,61
147,2,Cosumnes River Preserve,CRP,38.26244,-121.43118,7,82
567,7,SANTA MARGARITA,SMAR,35.35473,-120.53982,345,82
564,12,SANTA MARGARITA,SMAR,35.34739,-120.53631,347,96
266,3,Hidden Valley (Thousand Oaks),HV,34.15258,-118.90409,311,82
262,6,Hidden Valley (Thousand Oaks),HV,34.14307,-118.89994,305,96
378,5,Meridian,MRD,39.18717,-121.89950,9,75
377,6,Meridian,MRD,39.18717,-121.89928,3,124
444,11,Nicolaus,NIC,38.88139,-121.60609,11,82
439,1,Nicolaus,NIC,38.88670,-121.59470,11,69
123,1,"Cordon Ridge, 1500 m",CR15,35.00166,-118.65096,1519,89
121,6,"Cordon Ridge, 1500 m",CR15,35.00161,-118.65046,1524,110
133,4,"Cordon Ridge, 600 m",CR6,35.00726,-118.70570,627,89
186,15,Dry Creek,DRY,37.64569,-120.84776,35,89
215,12,Fort Tejon State Park,FT,34.87472,-118.89387,972,late germ
221,7,Fort Tejon State Park,FT,34.87413,-118.89376,973,75
33,11,Bellota,BEL,38.05077,-121.01207,44,138
31,2,Bellota,BEL,38.05981,-121.01448,50,61
494,9,Penn Valley,PEN,39.20340,-121.19019,422,82
495,7,Penn Valley,PEN,39.20430,-121.19053,420,82
358,4,Mariposa,MAR,37.45967,-119.90174,709,96
356,7,Mariposa,MAR,37.45846,-119.90099,702,61
257,11,Henry Coe area,COE,37.08028,-121.46790,266,75
260,1,Henry Coe area,COE,37.08237,-121.46968,273,49
279,10,HUASNA VALLEY NEAR ARROYO GRANDE,HUA,35.11256,-120.39979,244,89
329,11,"LYNCH CANYON ROAD, LAKE NACIMIENTO",LYN,35.78784,-120.93893,279,96
330,14,"LYNCH CANYON ROAD, LAKE NACIMIENTO",LYN,35.78779,-120.93912,282,124
3,13,Alhambra,ALH,37.96985,-122.17661,202,69
5,11,Alhambra,ALH,37.96534,-122.17293,146,69
538,13,Restoration Oaks Ranch,RO,34.55213,-120.18814,195,124
544,1,Restoration Oaks Ranch,RO,34.55380,-120.19004,195,69
197,10,Dunlap,DUN,36.74153,-119.13903,556,82
190,5,Dunlap,DUN,36.74545,-119.16129,523,69
88,5,Chico,CHI,39.71196,-121.78434,76,89
89,7,Chico,CHI,39.71202,-121.78502,83,82
338,3,Madera Transect,MAD,36.97367,-119.36785,581,82
342,5,Madera Transect,MAD,36.96870,-119.24771,607,103
169,12,Cottonwood Drainage,CD16,34.97496,-118.59283,1636,103
167,3,Cottonwood Drainage,CD16,34.97533,-118.59338,1643,110
62,6,Caswell Memorial SP,CAS,37.70419,-121.18105,10,61
57,7,Caswell Memorial SP,CAS,37.69846,-121.18408,22,82
344,1,Malibu Creek State Park,MC,34.09454,-118.71642,166,69
348,6,Malibu Creek State Park,MC,34.09787,-118.71385,169,89
202,1,Folsom,FOL,38.63316,-121.21493,50,61
201,3,Folsom,FOL,38.63376,-121.21562,48,131
